level,Speed_level,Run,Running_speed_kph,Secs_per_20m_shuttle,Secs_running_at_level,Cum_time_inc_recov_secs,Cum_shuttles,Cum_distance_m
51,5,1,10,7.20,14.4,24.4,2,40
91,9,1,12,6.00,12.0,46.4,4,80
111,11,1,13,5.54,11.1,67.5,6,120
112,11,2,13,5.54,11.1,88.6,8,160
121,12,1,13.5,5.33,10.7,109.2,10,200
122,12,2,13.5,5.33,10.7,129.9,12,240
123,12,3,13.5,5.33,10.7,150.6,14,280
131,13,1,14,5.14,10.3,170.8,16,320
132,13,2,14,5.14,10.3,191.1,18,360
133,13,3,14,5.14,10.3,211.4,20,400
134,13,4,14,5.14,10.3,231.7,22,440
141,14,1,14.5,4.97,9.9,251.6,24,480
142,14,2,14.5,4.97,9.9,271.6,26,520
143,14,3,14.5,4.97,9.9,291.5,28,560
144,14,4,14.5,4.97,9.9,311.4,30,600
145,14,5,14.5,4.97,9.9,331.4,32,640
146,14,6,14.5,4.97,9.9,351.3,34,680
147,14,7,14.5,4.97,9.9,371.2,36,720
148,14,8,14.5,4.97,9.9,391.1,38,760
151,15,1,15,4.80,9.6,410.7,40,800
152,15,2,15,4.80,9.6,430.3,42,840
153,15,3,15,4.80,9.6,449.9,44,880
154,15,4,15,4.80,9.6,469.5,46,920
155,15,5,15,4.80,9.6,489.1,48,960
156,15,6,15,4.80,9.6,508.7,50,1000
157,15,7,15,4.80,9.6,528.3,52,1040
158,15,8,15,4.80,9.6,547.9,54,1080
161,16,1,15.5,4.65,9.3,567.2,56,1120
162,16,2,15.5,4.65,9.3,586.5,58,1160
163,16,3,15.5,4.65,9.3,605.8,60,1200
164,16,4,15.5,4.65,9.3,625.1,62,1240
165,16,5,15.5,4.65,9.3,644.4,64,1280
166,16,6,15.5,4.65,9.3,663.7,66,1320
167,16,7,15.5,4.65,9.3,683.0,68,1360
168,16,8,15.5,4.65,9.3,702.3,70,1400
171,17,1,16,4.50,9.0,721.3,72,1440
172,17,2,16,4.50,9.0,740.3,74,1480
173,17,3,16,4.50,9.0,759.3,76,1520
174,17,4,16,4.50,9.0,778.3,78,1560
175,17,5,16,4.50,9.0,797.3,80,1600
176,17,6,16,4.50,9.0,816.3,82,1640
177,17,7,16,4.50,9.0,835.3,84,1680
178,17,8,16,4.50,9.0,854.3,86,1720
181,18,1,16.5,4.36,8.7,873.0,88,1760
182,18,2,16.5,4.36,8.7,891.7,90,1800
183,18,3,16.5,4.36,8.7,910.4,92,1840
184,18,4,16.5,4.36,8.7,929.2,94,1880
185,18,5,16.5,4.36,8.7,947.9,96,1920
186,18,6,16.5,4.36,8.7,966.6,98,1960
187,18,7,16.5,4.36,8.7,985.4,100,2000
188,18,8,16.5,4.36,8.7,1004.1,102,2040
191,19,1,17,4.24,8.5,1022.6,104,2080
192,19,2,17,4.24,8.5,1041.0,106,2120
193,19,3,17,4.24,8.5,1059.5,108,2160
194,19,4,17,4.24,8.5,1078.0,110,2200
195,19,5,17,4.24,8.5,1096.4,112,2240
196,19,6,17,4.24,8.5,1114.9,114,2280
197,19,7,17,4.24,8.5,1133.4,116,2320
198,19,8,17,4.24,8.5,1151.9,118,2360
201,20,1,17.5,4.11,8.2,1170.1,120,2400
202,20,2,17.5,4.11,8.2,1188.3,122,2440
203,20,3,17.5,4.11,8.2,1206.5,124,2480
204,20,4,17.5,4.11,8.2,1224.8,126,2520
205,20,5,17.5,4.11,8.2,1243.0,128,2560
206,20,6,17.5,4.11,8.2,1261.2,130,2600
207,20,7,17.5,4.11,8.2,1279.5,132,2640
208,20,8,17.5,4.11,8.2,1297.7,134,2680
211,21,1,18,4.00,8.0,1315.7,136,2720
212,21,2,18,4.00,8.0,1333.7,138,2760
213,21,3,18,4.00,8.0,1351.7,140,2800
214,21,4,18,4.00,8.0,1369.7,142,2840
215,21,5,18,4.00,8.0,1387.7,144,2880
216,21,6,18,4.00,8.0,1405.7,146,2920
217,21,7,18,4.00,8.0,1423.7,148,2960
218,21,8,18,4.00,8.0,1441.7,150,3000
221,22,1,18.5,3.89,7.8,1459.5,152,3040
222,22,2,18.5,3.89,7.8,1477.2,154,3080
223,22,3,18.5,3.89,7.8,1495.0,156,3120
224,22,4,18.5,3.89,7.8,1512.8,158,3160
225,22,5,18.5,3.89,7.8,1530.6,160,3200
226,22,6,18.5,3.89,7.8,1548.4,162,3240
227,22,7,18.5,3.89,7.8,1566.2,164,3280
228,22,8,18.5,3.89,7.8,1583.9,166,3320
231,23,1,19,3.79,7.6,1601.5,168,3360
232,23,2,19,3.79,7.6,1619.1,170,3400
233,23,3,19,3.79,7.6,1636.7,172,3440
234,23,4,19,3.79,7.6,1654.3,174,3480
235,23,5,19,3.79,7.6,1671.8,176,3520
236,23,6,19,3.79,7.6,1689.4,178,3560
237,23,7,19,3.79,7.6,1707.0,180,3600
238,23,8,19,3.79,7.6,1724.6,182,3640
